case,implementation,status,error,dimension,family,input_format,output_format,wb,betatotal,aspect,raxis_cc,volume_p,iotaf_edge,pressure_axis,plasma_current
PARVMEC/Testing/tests/lasym_test/test_sym,vmec2000,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0007499526831415016,0.01570894415539308,3.0,0.7629778278183612,0.9252754126021275,0.3405908029802688,399.99999999999994,40000.170349453605
PARVMEC/Testing/tests/lasym_test/test_sym,vmecpp,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0007499526817788443,0.0,3.0,0.7629798240916664,0.9252754126021275,0.34058992860928194,0.0,40000.17032055626
PARVMEC/Testing/tests/lasym_test/test_sym,vmex,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0007499526836327072,0.015708944145103994,3.0,0.7629778279943635,0.9252754126021274,0.3405908021246383,399.99999999999994,40000.17032055629
PARVMEC/Testing/tests/niter_test/test,chease,failed,Unsupported: CHEASE requires a 2-D GEQDSK input,3,grad_shafranov,vmec_indata_via_geqdsk,geqdsk,,,,,,,,
PARVMEC/Testing/tests/niter_test/test,desc,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0021720116983289474,0.0,4.949747468199312,0.6488106760291792,0.27634892322455473,-0.2462091492850024,0.0,-39999.999939999994
PARVMEC/Testing/tests/niter_test/test,educational_vmec,failed,Run failed,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
PARVMEC/Testing/tests/niter_test/test,freegs,failed,Unsupported: FreeGS is restricted to 2-D Grad-Shafranov cases,3,grad_shafranov,vmec_indata_or_case,geqdsk,,,,,,,,
PARVMEC/Testing/tests/niter_test/test,gvec,failed,Unsupported: VMEC pressure profile of type line_segment is not supported for conversion,3,vmec_family,vmec_indata,gvec_state,,,,,,,,
PARVMEC/Testing/tests/niter_test/test,jvmec,failed,Run failed,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
PARVMEC/Testing/tests/niter_test/test,parvmec,success,,3,vmec_family,vmec_indata,wout_netcdf,0.00223375151639002,0.0015751992037427763,4.949747468305834,0.7269397206627392,0.2763489232305021,0.2907780755898262,399.99999999999994,40000.170320556295
PARVMEC/Testing/tests/niter_test/test,spec,failed,Unsupported: SPEC requires a native .sp input,3,spec_mhd,spec_namelist,spec_hdf5,,,,,,,,
PARVMEC/Testing/tests/niter_test/test,spectre,failed,Run failed,3,spectre_mhd,vmec_indata_or_spectre_toml,spectre_json,,,,,,,,
PARVMEC/Testing/tests/niter_test/test,vmec2000,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0022337515159735273,0.0015751992040364685,4.949747468305834,0.7269397206615911,0.2763489232305021,0.29077807594675736,399.99999999999994,40000.17034945363
PARVMEC/Testing/tests/niter_test/test,vmecpp,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0025582124079946496,0.0,4.949747468305834,0.7269153912378156,0.2763489232305021,0.2598385379216558,0.0,40000.170320556266
PARVMEC/Testing/tests/niter_test/test,vmex,failed,Run failed,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
PARVMEC/Testing/tests/reset_test/test,chease,failed,Unsupported: CHEASE requires a 2-D GEQDSK input,3,grad_shafranov,vmec_indata_via_geqdsk,geqdsk,,,,,,,,
PARVMEC/Testing/tests/reset_test/test,desc,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0007407048164296386,0.0,3.0000000004573946,0.7496981442889861,0.9252754127431984,-0.3406423468043729,0.0,-39999.999939999994
PARVMEC/Testing/tests/reset_test/test,educational_vmec,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0007499526836327072,0.015708944145103997,3.0,0.7629778279943636,0.9252754126021275,0.3405908021246178,399.99999999999994,40000.170320556295
PARVMEC/Testing/tests/reset_test/test,freegs,failed,Unsupported: FreeGS is restricted to 2-D Grad-Shafranov cases,3,grad_shafranov,vmec_indata_or_case,geqdsk,,,,,,,,
PARVMEC/Testing/tests/reset_test/test,gvec,failed,Unsupported: VMEC pressure profile of type line_segment is not supported for conversion,3,vmec_family,vmec_indata,gvec_state,,,,,,,,
PARVMEC/Testing/tests/reset_test/test,jvmec,failed,Run failed,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
PARVMEC/Testing/tests/reset_test/test,parvmec,success,,3,vmec_family,vmec_indata,wout_netcdf,0.000749952683632707,0.015708944145103994,3.0,0.7629778279943625,0.9252754126021275,0.340590802124621,399.99999999999994,40000.17032055629
PARVMEC/Testing/tests/reset_test/test,spec,failed,Unsupported: SPEC requires a native .sp input,3,spec_mhd,spec_namelist,spec_hdf5,,,,,,,,
PARVMEC/Testing/tests/reset_test/test,spectre,failed,Run failed,3,spectre_mhd,vmec_indata_or_spectre_toml,spectre_json,,,,,,,,
PARVMEC/Testing/tests/reset_test/test,vmec2000,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0007499526831415016,0.01570894415539308,3.0,0.7629778278183612,0.9252754126021275,0.3405908029802688,399.99999999999994,40000.170349453605
PARVMEC/Testing/tests/reset_test/test,vmecpp,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0007499526817788443,0.0,3.0,0.7629798240916664,0.9252754126021275,0.34058992860928194,0.0,40000.17032055626
PARVMEC/Testing/tests/reset_test/test,vmex,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0007499526836327072,0.015708944145103994,3.0,0.7629778279943635,0.9252754126021274,0.3405908021246383,399.99999999999994,40000.17032055629
SPEC/ci/G1V03L0Fi/G1V03L0Fi,chease,failed,Unsupported: CHEASE requires a 2-D GEQDSK input,3,grad_shafranov,vmec_indata_via_geqdsk,geqdsk,,,,,,,,
SPEC/ci/G1V03L0Fi/G1V03L0Fi,desc,failed,Unsupported: native SPEC cases are not VMEC inputs,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
SPEC/ci/G1V03L0Fi/G1V03L0Fi,educational_vmec,failed,Unsupported: native SPEC cases are not VMEC inputs,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
SPEC/ci/G1V03L0Fi/G1V03L0Fi,freegs,failed,Unsupported: FreeGS is restricted to 2-D Grad-Shafranov cases,3,grad_shafranov,vmec_indata_or_case,geqdsk,,,,,,,,
SPEC/ci/G1V03L0Fi/G1V03L0Fi,gvec,failed,Unsupported: native SPEC cases are not VMEC inputs,3,vmec_family,vmec_indata,gvec_state,,,,,,,,
SPEC/ci/G1V03L0Fi/G1V03L0Fi,jvmec,failed,Unsupported: native SPEC cases are not VMEC inputs,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
SPEC/ci/G1V03L0Fi/G1V03L0Fi,parvmec,failed,Unsupported: native SPEC cases are not VMEC inputs,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
SPEC/ci/G1V03L0Fi/G1V03L0Fi,spec,success,,3,spec_mhd,spec_namelist,spec_hdf5,,,,0.0,394.78417604357435,0.6188295464,,0.0
SPEC/ci/G1V03L0Fi/G1V03L0Fi,spectre,failed,Unsupported: SPECTRE requires VMEC input or native TOML,3,spectre_mhd,vmec_indata_or_spectre_toml,spectre_json,,,,,,,,
