case,implementation,runtime_seconds,timing_source
educational_VMEC/from_STELLOPT_246/Joachim/w7as_joachim,vmex,32.34,total computational time (s)
educational_VMEC/from_STELLOPT_246/STR/qas3,desc,263.48,GNU time real (s)
educational_VMEC/from_STELLOPT_246/STR/qas3,educational_vmec,0.87,GNU time real (s)
educational_VMEC/from_STELLOPT_246/STR/qas3,jvmec,36.81,total execution time (s)
educational_VMEC/from_STELLOPT_246/STR/qas3,parvmec,5.68,total computational time (s)
educational_VMEC/from_STELLOPT_246/STR/qas3,vmec2000,5.75,total computational time (s)
educational_VMEC/from_STELLOPT_246/STR/qas3,vmecpp,7.07,GNU time real (s)
educational_VMEC/from_STELLOPT_246/STR/qas3,vmex,32.62,total computational time (s)
educational_VMEC/from_STELLOPT_246/STR/str_hb,desc,124.01,GNU time real (s)
educational_VMEC/from_STELLOPT_246/STR/str_lb,desc,124.47,GNU time real (s)
educational_VMEC/from_STELLOPT_246/atf,desc,108.12,GNU time real (s)
educational_VMEC/from_STELLOPT_246/atf,educational_vmec,1.59,GNU time real (s)
educational_VMEC/from_STELLOPT_246/atf,gvec,43.7,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/atf,jvmec,30.25,total execution time (s)
educational_VMEC/from_STELLOPT_246/atf,parvmec,2.03,total computational time (s)
educational_VMEC/from_STELLOPT_246/atf,vmec2000,1.95,total computational time (s)
educational_VMEC/from_STELLOPT_246/atf,vmecpp,4.67,GNU time real (s)
educational_VMEC/from_STELLOPT_246/atf,vmex,22.17,total computational time (s)
educational_VMEC/from_STELLOPT_246/atf0,desc,85.59,GNU time real (s)
educational_VMEC/from_STELLOPT_246/atf0,educational_vmec,1.02,GNU time real (s)
educational_VMEC/from_STELLOPT_246/atf0,gvec,35.2,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/atf0,jvmec,28.44,total execution time (s)
educational_VMEC/from_STELLOPT_246/atf0,parvmec,1.31,total computational time (s)
educational_VMEC/from_STELLOPT_246/atf0,vmec2000,1.23,total computational time (s)
educational_VMEC/from_STELLOPT_246/atf0,vmecpp,3.39,GNU time real (s)
educational_VMEC/from_STELLOPT_246/atf0,vmex,20.28,total computational time (s)
educational_VMEC/from_STELLOPT_246/dshape,desc,55.81,GNU time real (s)
educational_VMEC/from_STELLOPT_246/ellipse,desc,47.41,GNU time real (s)
educational_VMEC/from_STELLOPT_246/isaev1,desc,128.15,GNU time real (s)
educational_VMEC/from_STELLOPT_246/isaev1,educational_vmec,1.77,GNU time real (s)
educational_VMEC/from_STELLOPT_246/isaev1,gvec,69.1,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/isaev1,jvmec,93.91,total execution time (s)
educational_VMEC/from_STELLOPT_246/isaev1,parvmec,13.32,total computational time (s)
educational_VMEC/from_STELLOPT_246/isaev1,vmec2000,13.14,total computational time (s)
educational_VMEC/from_STELLOPT_246/isaev1,vmecpp,20.45,GNU time real (s)
educational_VMEC/from_STELLOPT_246/isaev1,vmex,43.46,total computational time (s)
educational_VMEC/from_STELLOPT_246/laz,desc,65.76,GNU time real (s)
educational_VMEC/from_STELLOPT_246/qas3_p4,desc,266.33,GNU time real (s)
educational_VMEC/from_STELLOPT_246/qas3_p4,educational_vmec,0.9,GNU time real (s)
educational_VMEC/from_STELLOPT_246/qas3_p4,jvmec,42.57,total execution time (s)
educational_VMEC/from_STELLOPT_246/qas3_p4,parvmec,5.66,total computational time (s)
educational_VMEC/from_STELLOPT_246/qas3_p4,vmec2000,5.62,total computational time (s)
educational_VMEC/from_STELLOPT_246/qas3_p4,vmecpp,6.89,GNU time real (s)
educational_VMEC/from_STELLOPT_246/qas3_p4,vmex,36.65,total computational time (s)
educational_VMEC/from_STELLOPT_246/qps,desc,461.91,GNU time real (s)
educational_VMEC/from_STELLOPT_246/single_null,desc,58.6,GNU time real (s)
educational_VMEC/from_STELLOPT_246/vinotron.m8_p4,desc,100.04,GNU time real (s)
educational_VMEC/from_STELLOPT_246/vinotron.m8_p4,educational_vmec,1.04,GNU time real (s)
educational_VMEC/from_STELLOPT_246/vinotron.m8_p4,jvmec,36.32,total execution time (s)
educational_VMEC/from_STELLOPT_246/vinotron.m8_p4,parvmec,3.28,total computational time (s)
educational_VMEC/from_STELLOPT_246/vinotron.m8_p4,vmec2000,3.05,total computational time (s)
educational_VMEC/from_STELLOPT_246/vinotron.m8_p4,vmecpp,4.7,GNU time real (s)
educational_VMEC/from_STELLOPT_246/vinotron.m8_p4,vmex,26.53,total computational time (s)
educational_VMEC/from_STELLOPT_246/w7as_raw,desc,193.98,GNU time real (s)
educational_VMEC/from_STELLOPT_246/w7as_scaled,desc,190.23,GNU time real (s)
educational_VMEC/from_STELLOPT_246/w7as_scaled_beta0,desc,185.95,GNU time real (s)
educational_VMEC/from_STELLOPT_Wiki/fixb_NCSD/ncsx_c09r00_fixed,desc,276.9,GNU time real (s)
educational_VMEC/from_STELLOPT_Wiki/fixb_NCSD/ncsx_c09r00_fixed,educational_vmec,0.96,GNU time real (s)
educational_VMEC/from_STELLOPT_Wiki/fixb_NCSD/ncsx_c09r00_fixed,parvmec,7.16,total computational time (s)
educational_VMEC/from_STELLOPT_Wiki/fixb_NCSD/ncsx_c09r00_fixed,vmec2000,7.09,total computational time (s)
educational_VMEC/from_STELLOPT_Wiki/fixb_NCSD/ncsx_c09r00_fixed,vmecpp,9.9,GNU time real (s)
educational_VMEC/from_STELLOPT_Wiki/fixb_NCSD/ncsx_c09r00_fixed,vmex,36.97,total computational time (s)
educational_VMEC/from_STELLOPT_Wiki/freeb_NCSX/ncsx_c09r00_free,desc,270.86,GNU time real (s)
educational_VMEC/from_STELLOPT_repo/ATF,desc,101.93,GNU time real (s)
educational_VMEC/from_STELLOPT_repo/ATF,gvec,23.2,GVEC finished after (s)
educational_VMEC/from_STELLOPT_repo/ATF,parvmec,267.99,total computational time (s)
educational_VMEC/from_STELLOPT_repo/ATF,vmec2000,268.86,total computational time (s)
educational_VMEC/from_STELLOPT_repo/ATF,vmecpp,233.52,GNU time real (s)
educational_VMEC/from_STELLOPT_repo/ATF,vmex,346.3,total computational time (s)
educational_VMEC/from_STELLOPT_repo/DIII-D,desc,62.42,GNU time real (s)
educational_VMEC/from_STELLOPT_repo/DSHAPE,desc,60.92,GNU time real (s)
educational_VMEC/from_STELLOPT_repo/DSHAPE,educational_vmec,226.39,GNU time real (s)
educational_VMEC/from_STELLOPT_repo/DSHAPE,gvec,19.7,GVEC finished after (s)
educational_VMEC/from_STELLOPT_repo/DSHAPE,jvmec,415.86,total execution time (s)
educational_VMEC/from_STELLOPT_repo/DSHAPE,parvmec,78.66,total computational time (s)
educational_VMEC/from_STELLOPT_repo/DSHAPE,spectre,2.0,SPECTRE minimization time (s)
educational_VMEC/from_STELLOPT_repo/DSHAPE,vmec2000,82.05,total computational time (s)
educational_VMEC/from_STELLOPT_repo/DSHAPE,vmecpp,8.54,GNU time real (s)
educational_VMEC/from_STELLOPT_repo/DSHAPE,vmex,130.52,total computational time (s)
educational_VMEC/from_STELLOPT_repo/HELIOTRON,desc,72.1,GNU time real (s)
educational_VMEC/from_STELLOPT_repo/HELIOTRON,educational_vmec,228.55,GNU time real (s)
educational_VMEC/from_STELLOPT_repo/HELIOTRON,gvec,12.2,GVEC finished after (s)
educational_VMEC/from_STELLOPT_repo/HELIOTRON,jvmec,358.79,total execution time (s)
educational_VMEC/from_STELLOPT_repo/HELIOTRON,parvmec,71.67,total computational time (s)
educational_VMEC/from_STELLOPT_repo/HELIOTRON,spectre,4.0,SPECTRE minimization time (s)
educational_VMEC/from_STELLOPT_repo/HELIOTRON,vmec2000,71.52,total computational time (s)
educational_VMEC/from_STELLOPT_repo/HELIOTRON,vmecpp,79.95,GNU time real (s)
educational_VMEC/from_STELLOPT_repo/HELIOTRON,vmex,151.49,total computational time (s)
educational_VMEC/from_STELLOPT_repo/Q2_KINK,desc,78.79,GNU time real (s)
educational_VMEC/from_STELLOPT_repo/Q2_KINK,gvec,0.7,GVEC finished after (s)
educational_VMEC/from_STELLOPT_repo/Q2_KINK,parvmec,251.39,total computational time (s)
educational_VMEC/from_STELLOPT_repo/Q2_KINK,vmec2000,264.33,total computational time (s)
educational_VMEC/from_STELLOPT_repo/QAS,desc,272.93,GNU time real (s)
educational_VMEC/from_STELLOPT_repo/QAS,educational_vmec,2.14,GNU time real (s)
educational_VMEC/from_STELLOPT_repo/QAS,parvmec,33.42,total computational time (s)
educational_VMEC/from_STELLOPT_repo/QAS,vmec2000,33.95,total computational time (s)
educational_VMEC/from_STELLOPT_repo/QAS,vmecpp,34.14,GNU time real (s)
educational_VMEC/from_STELLOPT_repo/QAS,vmex,92.84,total computational time (s)
educational_VMEC/from_STELLOPT_repo/SOLOVEV,desc,58.52,GNU time real (s)
educational_VMEC/from_STELLOPT_repo/SOLOVEV,educational_vmec,485.59,GNU time real (s)
educational_VMEC/from_STELLOPT_repo/SOLOVEV,gvec,5.1,GVEC finished after (s)
educational_VMEC/from_STELLOPT_repo/SOLOVEV,parvmec,168.33,total computational time (s)
educational_VMEC/from_STELLOPT_repo/SOLOVEV,spectre,1.0,SPECTRE minimization time (s)
educational_VMEC/from_STELLOPT_repo/SOLOVEV,vmec2000,172.32,total computational time (s)
educational_VMEC/from_STELLOPT_repo/SOLOVEV,vmecpp,7.81,GNU time real (s)
educational_VMEC/from_STELLOPT_repo/SOLOVEV,vmex,283.9,total computational time (s)
educational_VMEC/from_Stellarator_Tools_PARVMEC/fixed_boundary_test/test,desc,26.18,GNU time real (s)
educational_VMEC/from_Stellarator_Tools_PARVMEC/fixed_boundary_test/test,educational_vmec,0.15,GNU time real (s)
educational_VMEC/from_Stellarator_Tools_PARVMEC/fixed_boundary_test/test,parvmec,0.07,total computational time (s)
educational_VMEC/from_Stellarator_Tools_PARVMEC/fixed_boundary_test/test,vmec2000,0.06,total computational time (s)
educational_VMEC/from_Stellarator_Tools_PARVMEC/fixed_boundary_test/test,vmecpp,0.59,GNU time real (s)
educational_VMEC/from_Stellarator_Tools_PARVMEC/fixed_boundary_test/test,vmex,10.25,total computational time (s)
educational_VMEC/from_Stellarator_Tools_PARVMEC/free_boundary_test/test,desc,87.06,GNU time real (s)
educational_VMEC/from_Stellarator_Tools_PARVMEC/free_boundary_test/test,jvmec,32.93,total execution time (s)
educational_VMEC/from_Stellarator_Tools_PARVMEC/free_boundary_test/test,parvmec,2.5,total computational time (s)
educational_VMEC/from_Stellarator_Tools_PARVMEC/free_boundary_test/test,vmec2000,2.43,total computational time (s)
educational_VMEC/from_Stellarator_Tools_PARVMEC/free_boundary_test/test,vmecpp,3.96,GNU time real (s)
educational_VMEC/from_booz_xform/LandremanSenguptaPlunk_section5p3,desc,106.12,GNU time real (s)
educational_VMEC/from_booz_xform/LandremanSenguptaPlunk_section5p3,educational_vmec,12.33,GNU time real (s)
educational_VMEC/from_booz_xform/LandremanSenguptaPlunk_section5p3,gvec,54.1,GVEC finished after (s)
educational_VMEC/from_booz_xform/LandremanSenguptaPlunk_section5p3,jvmec,39.6,total execution time (s)
educational_VMEC/from_booz_xform/LandremanSenguptaPlunk_section5p3,vmec2000,4.13,total computational time (s)
educational_VMEC/from_booz_xform/LandremanSenguptaPlunk_section5p3,vmex,28.32,total computational time (s)
educational_VMEC/from_booz_xform/circular_tokamak,desc,41.58,GNU time real (s)
educational_VMEC/from_booz_xform/circular_tokamak,educational_vmec,0.39,GNU time real (s)
educational_VMEC/from_booz_xform/circular_tokamak,gvec,9.1,GVEC finished after (s)
educational_VMEC/from_booz_xform/circular_tokamak,jvmec,6.19,total execution time (s)
educational_VMEC/from_booz_xform/circular_tokamak,parvmec,0.12,total computational time (s)
educational_VMEC/from_booz_xform/circular_tokamak,spectre,3.0,SPECTRE minimization time (s)
educational_VMEC/from_booz_xform/circular_tokamak,vmec2000,0.1,total computational time (s)
educational_VMEC/from_booz_xform/circular_tokamak,vmecpp,0.78,GNU time real (s)
educational_VMEC/from_booz_xform/circular_tokamak,vmex,10.2,total computational time (s)
educational_VMEC/from_booz_xform/li383_1.4m,desc,119.36,GNU time real (s)
educational_VMEC/from_booz_xform/li383_1.4m,educational_vmec,0.54,GNU time real (s)
educational_VMEC/from_booz_xform/li383_1.4m,parvmec,2.21,total computational time (s)
educational_VMEC/from_booz_xform/li383_1.4m,vmec2000,2.19,total computational time (s)
educational_VMEC/from_booz_xform/li383_1.4m,vmecpp,3.84,GNU time real (s)
educational_VMEC/from_booz_xform/li383_1.4m,vmex,21.39,total computational time (s)
educational_VMEC/from_booz_xform/up_down_asymmetric_tokamak,desc,36.5,GNU time real (s)
educational_VMEC/from_booz_xform/up_down_asymmetric_tokamak,educational_vmec,1.86,GNU time real (s)
educational_VMEC/from_booz_xform/up_down_asymmetric_tokamak,gvec,20.4,GVEC finished after (s)
educational_VMEC/from_booz_xform/up_down_asymmetric_tokamak,jvmec,6.5,total execution time (s)
educational_VMEC/from_booz_xform/up_down_asymmetric_tokamak,parvmec,0.52,total computational time (s)
educational_VMEC/from_booz_xform/up_down_asymmetric_tokamak,spectre,0.174,SPECTRE minimization time (s)
educational_VMEC/from_booz_xform/up_down_asymmetric_tokamak,vmec2000,0.72,total computational time (s)
educational_VMEC/from_booz_xform/up_down_asymmetric_tokamak,vmecpp,1.22,GNU time real (s)
educational_VMEC/from_booz_xform/up_down_asymmetric_tokamak,vmex,15.0,total computational time (s)
educational_VMEC/from_misc_sources/146695t4501,desc,149.64,GNU time real (s)
educational_VMEC/from_misc_sources/146695t4501,educational_vmec,2.82,GNU time real (s)
educational_VMEC/from_misc_sources/146695t4501,gvec,96.0,GVEC finished after (s)
educational_VMEC/from_misc_sources/146695t4501,jvmec,54.32,total execution time (s)
educational_VMEC/from_misc_sources/146695t4501,parvmec,7.59,total computational time (s)
educational_VMEC/from_misc_sources/146695t4501,vmec2000,6.98,total computational time (s)
educational_VMEC/from_misc_sources/146695t4501,vmecpp,10.91,GNU time real (s)
educational_VMEC/from_misc_sources/146695t4501,vmex,32.49,total computational time (s)
educational_VMEC/from_misc_sources/demo,desc,44.09,GNU time real (s)
educational_VMEC/from_misc_sources/demo3d,desc,90.25,GNU time real (s)
educational_VMEC/from_misc_sources/demo3d,educational_vmec,1.03,GNU time real (s)
educational_VMEC/from_misc_sources/demo3d,gvec,35.1,GVEC finished after (s)
educational_VMEC/from_misc_sources/demo3d,jvmec,32.54,total execution time (s)
educational_VMEC/from_misc_sources/demo3d,parvmec,1.24,total computational time (s)
educational_VMEC/from_misc_sources/demo3d,vmec2000,1.27,total computational time (s)
educational_VMEC/from_misc_sources/demo3d,vmecpp,3.18,GNU time real (s)
educational_VMEC/from_misc_sources/demo3d,vmex,17.76,total computational time (s)
educational_VMEC/from_misc_sources/example_hsxt52_v3post,desc,102.28,GNU time real (s)
educational_VMEC/from_misc_sources/lhd,desc,381.46,GNU time real (s)
educational_VMEC/from_misc_sources/lhd,educational_vmec,2.36,GNU time real (s)
educational_VMEC/from_misc_sources/lhd,gvec,96.5,GVEC finished after (s)
educational_VMEC/from_misc_sources/lhd,jvmec,54.97,total execution time (s)
educational_VMEC/from_misc_sources/lhd,parvmec,4.6,total computational time (s)
educational_VMEC/from_misc_sources/lhd,vmec2000,4.62,total computational time (s)
educational_VMEC/from_misc_sources/lhd,vmecpp,9.12,GNU time real (s)
educational_VMEC/from_misc_sources/lhd,vmex,24.83,total computational time (s)
educational_VMEC/from_misc_sources/ncsx_c09r00_fixed,desc,261.96,GNU time real (s)
educational_VMEC/from_misc_sources/ncsx_c09r00_fixed,educational_vmec,0.94,GNU time real (s)
educational_VMEC/from_misc_sources/ncsx_c09r00_fixed,parvmec,8.98,total computational time (s)
educational_VMEC/from_misc_sources/ncsx_c09r00_fixed,vmec2000,9.13,total computational time (s)
educational_VMEC/from_misc_sources/ncsx_c09r00_fixed,vmecpp,8.85,GNU time real (s)
educational_VMEC/from_misc_sources/ncsx_c09r00_fixed,vmex,38.65,total computational time (s)
educational_VMEC/from_misc_sources/ncsx_c09r00_free,desc,269.87,GNU time real (s)
educational_VMEC/from_misc_sources/test,desc,27.2,GNU time real (s)
educational_VMEC/from_misc_sources/test,parvmec,0.11,total computational time (s)
educational_VMEC/from_misc_sources/test,vmec2000,0.06,total computational time (s)
educational_VMEC/from_misc_sources/test,vmecpp,0.58,GNU time real (s)
educational_VMEC/from_misc_sources/test,vmex,10.17,total computational time (s)
educational_VMEC/from_quasisymmetry/li383_vacuum,desc,109.17,GNU time real (s)
educational_VMEC/from_quasisymmetry/li383_vacuum,educational_vmec,1.3,GNU time real (s)
educational_VMEC/from_quasisymmetry/li383_vacuum,parvmec,4.92,total computational time (s)
educational_VMEC/from_quasisymmetry/li383_vacuum,vmec2000,5.15,total computational time (s)
educational_VMEC/from_quasisymmetry/li383_vacuum,vmecpp,5.73,GNU time real (s)
educational_VMEC/from_vmec_multiple_readin/li383_low_res,desc,81.95,GNU time real (s)
educational_VMEC/from_vmec_multiple_readin/li383_low_res,educational_vmec,0.15,GNU time real (s)
educational_VMEC/from_vmec_multiple_readin/li383_low_res,parvmec,0.08,total computational time (s)
educational_VMEC/from_vmec_multiple_readin/li383_low_res,vmec2000,0.04,total computational time (s)
educational_VMEC/from_vmec_multiple_readin/li383_low_res,vmecpp,0.8,GNU time real (s)
educational_VMEC/from_vmec_multiple_readin/li383_low_res,vmex,9.41,total computational time (s)
educational_VMEC/solovev,desc,46.52,GNU time real (s)
educational_VMEC/solovev,educational_vmec,0.39,GNU time real (s)
educational_VMEC/solovev,gvec,4.6,GVEC finished after (s)
educational_VMEC/solovev,jvmec,5.3,total execution time (s)
educational_VMEC/solovev,parvmec,0.32,total computational time (s)
educational_VMEC/solovev,spectre,0.744,SPECTRE minimization time (s)
educational_VMEC/solovev,vmec2000,0.15,total computational time (s)
educational_VMEC/solovev,vmecpp,0.68,GNU time real (s)
educational_VMEC/solovev,vmex,16.36,total computational time (s)
educational_VMEC/test,desc,87.48,GNU time real (s)
educational_VMEC/test,educational_vmec,12.77,GNU time real (s)
educational_VMEC/test,jvmec,31.85,total execution time (s)
educational_VMEC/test,parvmec,2.54,total computational time (s)
educational_VMEC/test,vmec2000,2.38,total computational time (s)
educational_VMEC/test,vmecpp,4.25,GNU time real (s)
jVMEC/HELIOTRON,desc,74.38,GNU time real (s)
jVMEC/HELIOTRON,educational_vmec,0.39,GNU time real (s)
jVMEC/HELIOTRON,gvec,24.3,GVEC finished after (s)
jVMEC/HELIOTRON,jvmec,8.29,total execution time (s)
jVMEC/HELIOTRON,parvmec,0.11,total computational time (s)
jVMEC/HELIOTRON,vmec2000,0.07,total computational time (s)
jVMEC/HELIOTRON,vmecpp,0.78,GNU time real (s)
jVMEC/HELIOTRON,vmex,14.04,total computational time (s)
jVMEC/HELIOTRON_asym,desc,71.39,GNU time real (s)
jVMEC/HELIOTRON_asym,educational_vmec,0.69,GNU time real (s)
jVMEC/HELIOTRON_asym,gvec,24.4,GVEC finished after (s)
jVMEC/HELIOTRON_asym,jvmec,9.41,total execution time (s)
jVMEC/HELIOTRON_asym,parvmec,0.17,total computational time (s)
jVMEC/HELIOTRON_asym,vmec2000,0.16,total computational time (s)
jVMEC/HELIOTRON_asym,vmecpp,0.92,GNU time real (s)
jVMEC/HELIOTRON_asym,vmex,15.86,total computational time (s)
jVMEC/HELIOTRON_full,desc,80.32,GNU time real (s)
jVMEC/HELIOTRON_full,educational_vmec,79.41,GNU time real (s)
jVMEC/HELIOTRON_full,gvec,27.2,GVEC finished after (s)
jVMEC/HELIOTRON_full,jvmec,144.53,total execution time (s)
jVMEC/HELIOTRON_full,parvmec,19.06,total computational time (s)
jVMEC/HELIOTRON_full,vmec2000,20.31,total computational time (s)
jVMEC/HELIOTRON_full,vmecpp,22.31,GNU time real (s)
jVMEC/HELIOTRON_full,vmex,63.85,total computational time (s)
jVMEC/Ns_2048.M_32,desc,57.77,GNU time real (s)
jVMEC/Ns_2048.M_32,educational_vmec,1.08,GNU time real (s)
jVMEC/Ns_2048.M_32,gvec,12.7,GVEC finished after (s)
jVMEC/Ns_2048.M_32,jvmec,8.37,total execution time (s)
jVMEC/Ns_2048.M_32,spectre,1.0,SPECTRE minimization time (s)
jVMEC/Ns_2048.M_32_fixb,desc,57.85,GNU time real (s)
jVMEC/Ns_2048.M_32_fixb,educational_vmec,0.63,GNU time real (s)
jVMEC/Ns_2048.M_32_fixb,gvec,13.5,GVEC finished after (s)
jVMEC/Ns_2048.M_32_fixb,jvmec,7.01,total execution time (s)
jVMEC/Ns_2048.M_32_fixb,parvmec,0.26,total computational time (s)
jVMEC/Ns_2048.M_32_fixb,spectre,1.0,SPECTRE minimization time (s)
jVMEC/Ns_2048.M_32_fixb,vmec2000,0.21,total computational time (s)
jVMEC/Ns_2048.M_32_fixb,vmecpp,0.83,GNU time real (s)
jVMEC/Ns_2048.M_32_fixb,vmex,15.01,total computational time (s)
jVMEC/Ns_eq_2048.M_eq_32,desc,136.99,GNU time real (s)
jVMEC/Ns_eq_2048.M_eq_32,gvec,16.8,GVEC finished after (s)
jVMEC/Ns_eq_2048.M_eq_32,spectre,3.0,SPECTRE minimization time (s)
jVMEC/SOLOVEV,desc,45.23,GNU time real (s)
jVMEC/SOLOVEV,educational_vmec,0.36,GNU time real (s)
jVMEC/SOLOVEV,gvec,4.5,GVEC finished after (s)
jVMEC/SOLOVEV,jvmec,7.51,total execution time (s)
jVMEC/SOLOVEV,parvmec,0.23,total computational time (s)
jVMEC/SOLOVEV,spectre,0.697,SPECTRE minimization time (s)
jVMEC/SOLOVEV,vmec2000,0.19,total computational time (s)
jVMEC/SOLOVEV,vmecpp,0.81,GNU time real (s)
jVMEC/SOLOVEV,vmex,20.52,total computational time (s)
jVMEC/W7X,desc,67.64,GNU time real (s)
jVMEC/W7X,educational_vmec,1.39,GNU time real (s)
jVMEC/W7X,gvec,42.6,GVEC finished after (s)
jVMEC/W7X,jvmec,15.27,total execution time (s)
jVMEC/W7X,parvmec,0.43,total computational time (s)
jVMEC/W7X,vmec2000,0.41,total computational time (s)
jVMEC/W7X,vmecpp,1.66,GNU time real (s)
jVMEC/W7X,vmex,12.05,total computational time (s)
jVMEC/W7X_full,parvmec,111.98,total computational time (s)
jVMEC/W7X_full,vmec2000,111.56,total computational time (s)
jVMEC/W7X_full,vmecpp,133.0,GNU time real (s)
jVMEC/W7X_full,vmex,293.56,total computational time (s)
jVMEC/itertype,desc,43.22,GNU time real (s)
jVMEC/itertype,educational_vmec,0.58,GNU time real (s)
jVMEC/itertype,jvmec,7.96,total execution time (s)
jVMEC/itertype,parvmec,0.27,total computational time (s)
jVMEC/itertype,spectre,0.765,SPECTRE minimization time (s)
jVMEC/itertype,vmec2000,0.11,total computational time (s)
jVMEC/itertype,vmecpp,1.02,GNU time real (s)
jVMEC/itertype,vmex,16.34,total computational time (s)
jVMEC/test,desc,87.47,GNU time real (s)
jVMEC/test,jvmec,32.42,total execution time (s)
jVMEC/test,parvmec,2.56,total computational time (s)
jVMEC/test,vmec2000,2.47,total computational time (s)
jVMEC/test,vmecpp,4.0,GNU time real (s)
jVMEC/test.vmec_old,desc,75.59,GNU time real (s)
jVMEC/test.vmec_old,educational_vmec,9.65,GNU time real (s)
jVMEC/test.vmec_old,jvmec,28.38,total execution time (s)
jVMEC/tok_asym,desc,45.74,GNU time real (s)
jVMEC/tok_asym,educational_vmec,1.4,GNU time real (s)
jVMEC/tok_asym,gvec,19.8,GVEC finished after (s)
jVMEC/tok_asym,jvmec,8.16,total execution time (s)
jVMEC/tok_asym,parvmec,0.32,total computational time (s)
jVMEC/tok_asym,vmec2000,0.29,total computational time (s)
jVMEC/tok_asym,vmecpp,1.21,GNU time real (s)
jVMEC/tok_asym,vmex,21.4,total computational time (s)
jVMEC/vmec,desc,123.09,GNU time real (s)
jVMEC/w7x_ref_167_12_12,desc,73.97,GNU time real (s)
vmecpp/data/cth_like_fixed_bdy,desc,89.22,GNU time real (s)
vmecpp/data/cth_like_fixed_bdy,educational_vmec,0.41,GNU time real (s)
vmecpp/data/cth_like_fixed_bdy,jvmec,4.1,total execution time (s)
vmecpp/data/cth_like_fixed_bdy,parvmec,0.15,total computational time (s)
vmecpp/data/cth_like_fixed_bdy,vmec2000,0.12,total computational time (s)
vmecpp/data/cth_like_fixed_bdy,vmecpp,1.37,GNU time real (s)
vmecpp/data/cth_like_fixed_bdy,vmex,12.47,total computational time (s)
vmecpp/data/nfp4_QH_warm_start,desc,68.12,GNU time real (s)
vmecpp/data/nfp4_QH_warm_start,educational_vmec,4.78,GNU time real (s)
vmecpp/data/nfp4_QH_warm_start,gvec,44.8,GVEC finished after (s)
vmecpp/data/nfp4_QH_warm_start,jvmec,19.49,total execution time (s)
vmecpp/data/nfp4_QH_warm_start,parvmec,1.36,total computational time (s)
vmecpp/data/nfp4_QH_warm_start,vmec2000,1.36,total computational time (s)
vmecpp/data/nfp4_QH_warm_start,vmecpp,2.71,GNU time real (s)
vmecpp/data/nfp4_QH_warm_start,vmex,26.29,total computational time (s)
vmecpp/data/solovev,desc,46.2,GNU time real (s)
vmecpp/data/solovev,educational_vmec,0.22,GNU time real (s)
vmecpp/data/solovev,gvec,4.6,GVEC finished after (s)
vmecpp/data/solovev,jvmec,5.31,total execution time (s)
vmecpp/data/solovev,parvmec,0.12,total computational time (s)
vmecpp/data/solovev,spectre,0.697,SPECTRE minimization time (s)
vmecpp/data/solovev,vmec2000,0.1,total computational time (s)
vmecpp/data/solovev,vmecpp,0.73,GNU time real (s)
vmecpp/data/solovev,vmex,18.82,total computational time (s)
vmecpp/data/w7x,educational_vmec,159.21,GNU time real (s)
vmecpp/data/w7x,gvec,134.8,GVEC finished after (s)
vmecpp/data/w7x,jvmec,242.74,total execution time (s)
vmecpp/data/w7x,parvmec,40.75,total computational time (s)
vmecpp/data/w7x,vmec2000,40.71,total computational time (s)
vmecpp/data/w7x,vmecpp,39.14,GNU time real (s)
vmecpp/data/w7x,vmex,116.63,total computational time (s)
