case,implementation,quality_status,quality_metric,residual,tolerance,residual_over_tolerance,iterations,solver_status,quality_source
educational_VMEC/from_STELLOPT_Wiki/fixb_NCSD/ncsx_c09r00_fixed,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.853457786685282e-12,1e-11,0.9853457786685282,1301.0,0,wout_ncsx_c09r00_fixed.nc
educational_VMEC/from_STELLOPT_Wiki/fixb_NCSD/ncsx_c09r00_fixed,vmecpp,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.739244838360293e-12,1e-11,0.9739244838360294,1121.0,0,wout_input.nc
educational_VMEC/from_STELLOPT_Wiki/fixb_NCSD/ncsx_c09r00_fixed,vmex,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.853456339624095e-12,1e-11,0.9853456339624096,1300.0,0,wout_ncsx_c09r00_fixed.nc
educational_VMEC/from_STELLOPT_Wiki/freeb_NCSX/ncsx_c09r00_free,desc,converged,maximum normalized force error,0.007601,,,5.0,success,desc.log
educational_VMEC/from_STELLOPT_repo/ATF,desc,converged,maximum normalized force error,0.01003,,,4.0,success,desc.log
educational_VMEC/from_STELLOPT_repo/ATF,gvec,not_converged,|force|,3.89e-06,1e-07,38.9,10000.0,finished,gvec.log
educational_VMEC/from_STELLOPT_repo/ATF,parvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.987282597965437e-13,1e-12,0.9987282597965437,3477.0,0,wout_ATF.nc
educational_VMEC/from_STELLOPT_repo/ATF,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.987857742742997e-13,1e-12,0.9987857742742997,3477.0,0,wout_ATF.nc
educational_VMEC/from_STELLOPT_repo/ATF,vmecpp,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.701467453791217e-13,1e-12,0.9701467453791217,3399.0,0,wout_input.nc
educational_VMEC/from_STELLOPT_repo/ATF,vmex,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.986562652310325e-13,1e-12,0.9986562652310325,3476.0,0,wout_ATF.nc
educational_VMEC/from_STELLOPT_repo/DIII-D,desc,converged,maximum normalized force error,0.001047,,,4.0,success,desc.log
educational_VMEC/from_STELLOPT_repo/DSHAPE,desc,converged,maximum normalized force error,4.412e-05,,,6.0,success,desc.log
educational_VMEC/from_STELLOPT_repo/DSHAPE,educational_vmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.9537224627267e-13,1e-12,0.99537224627267,871.0,0,wout_vmec.nc
educational_VMEC/from_STELLOPT_repo/DSHAPE,gvec,not_converged,|force|,1.49e-07,1e-07,1.49,10000.0,finished,gvec.log
educational_VMEC/from_STELLOPT_repo/DSHAPE,jvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.953738337641418e-13,1e-12,0.9953738337641418,0.0,0,wout_input_cleaned.nc
educational_VMEC/from_STELLOPT_repo/DSHAPE,parvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.961427203842663e-13,1e-12,0.9961427203842663,909.0,0,wout_DSHAPE.nc
educational_VMEC/from_STELLOPT_repo/DSHAPE,spectre,converged,least-squares optimality,1.1133982720282611,,,82.0,3,spectre_input_res.json
educational_VMEC/from_STELLOPT_repo/DSHAPE,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.961427203842663e-13,1e-12,0.9961427203842663,909.0,0,wout_DSHAPE.nc
educational_VMEC/from_STELLOPT_repo/DSHAPE,vmecpp,not_converged,"max(|fsqr|,|fsqz|,|fsql|)",1.0,1e-06,1000000.0,1.0,1,wout_input.nc
educational_VMEC/from_STELLOPT_repo/DSHAPE,vmex,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.961416131807024e-13,1e-12,0.9961416131807024,908.0,0,wout_DSHAPE.nc
educational_VMEC/from_STELLOPT_repo/HELIOTRON,desc,converged,maximum normalized force error,0.06805,,,1.0,success,desc.log
educational_VMEC/from_STELLOPT_repo/HELIOTRON,educational_vmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.854227499999586e-13,1e-12,0.9854227499999586,1123.0,0,wout_vmec.nc
educational_VMEC/from_STELLOPT_repo/HELIOTRON,gvec,converged,|force|,9.99e-08,1e-07,0.9990000000000001,10000.0,finished,gvec.log
educational_VMEC/from_STELLOPT_repo/HELIOTRON,jvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.854258499186439e-13,1e-12,0.9854258499186439,0.0,0,wout_input_cleaned.nc
educational_VMEC/from_STELLOPT_repo/HELIOTRON,parvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.764548313783975e-13,1e-12,0.9764548313783975,775.0,0,wout_HELIOTRON.nc
educational_VMEC/from_STELLOPT_repo/HELIOTRON,spectre,converged,least-squares optimality,3.28828241746848e-06,,,94.0,2,spectre_input_res.json
educational_VMEC/from_STELLOPT_repo/HELIOTRON,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.764655516568616e-13,1e-12,0.9764655516568616,775.0,0,wout_HELIOTRON.nc
educational_VMEC/from_STELLOPT_repo/HELIOTRON,vmecpp,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.88354144898808e-13,1e-12,0.988354144898808,786.0,0,wout_input.nc
educational_VMEC/from_STELLOPT_repo/HELIOTRON,vmex,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.764557246256798e-13,1e-12,0.9764557246256798,774.0,0,wout_HELIOTRON.nc
educational_VMEC/from_STELLOPT_repo/Q2_KINK,desc,not_converged,maximum normalized force error,7.997e-10,,,6.0,failure,desc.log
educational_VMEC/from_STELLOPT_repo/Q2_KINK,gvec,converged,|force|,9.62e-08,1e-07,0.9620000000000001,10000.0,finished,gvec.log
educational_VMEC/from_STELLOPT_repo/Q2_KINK,parvmec,not_converged,"max(|fsqr|,|fsqz|,|fsql|)",1.383086010883987e-15,1e-16,13.83086010883987,20001.0,0,wout_Q2_KINK.nc
educational_VMEC/from_STELLOPT_repo/Q2_KINK,vmec2000,not_converged,"max(|fsqr|,|fsqz|,|fsql|)",1.2170870580737805e-15,1e-16,12.170870580737805,20001.0,0,wout_Q2_KINK.nc
educational_VMEC/from_STELLOPT_repo/QAS,desc,converged,maximum normalized force error,0.007601,,,5.0,success,desc.log
educational_VMEC/from_STELLOPT_repo/QAS,educational_vmec,not_converged,"max(|fsqr|,|fsqz|,|fsql|)",0.045245227563904464,1e-12,45245227563.904465,2.0,0,wout_vmec.nc
educational_VMEC/from_STELLOPT_repo/QAS,parvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.984780170748913e-13,1e-12,0.9984780170748913,1781.0,0,wout_QAS.nc
educational_VMEC/from_STELLOPT_repo/QAS,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.984811536804085e-13,1e-12,0.9984811536804086,1781.0,0,wout_QAS.nc
educational_VMEC/from_STELLOPT_repo/QAS,vmecpp,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.95823998993672e-13,1e-12,0.995823998993672,1838.0,0,wout_input.nc
educational_VMEC/from_STELLOPT_repo/QAS,vmex,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.984778039585935e-13,1e-12,0.9984778039585935,1780.0,0,wout_QAS.nc
educational_VMEC/from_STELLOPT_repo/SOLOVEV,desc,not_converged,maximum normalized force error,5.973e-09,,,4.0,failure,desc.log
educational_VMEC/from_STELLOPT_repo/SOLOVEV,educational_vmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.757574909160433e-13,1e-12,0.9757574909160434,370.0,0,wout_vmec.nc
educational_VMEC/from_STELLOPT_repo/SOLOVEV,gvec,converged,|force|,9.95e-08,1e-07,0.995,10000.0,finished,gvec.log
educational_VMEC/from_STELLOPT_repo/SOLOVEV,parvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.805317992622325e-13,1e-12,0.9805317992622326,236.0,0,wout_SOLOVEV.nc
educational_VMEC/from_STELLOPT_repo/SOLOVEV,spectre,converged,least-squares optimality,0.04242579445564633,,,59.0,2,spectre_input_res.json
educational_VMEC/from_STELLOPT_repo/SOLOVEV,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.805317992622325e-13,1e-12,0.9805317992622326,236.0,0,wout_SOLOVEV.nc
educational_VMEC/from_STELLOPT_repo/SOLOVEV,vmecpp,not_converged,"max(|fsqr|,|fsqz|,|fsql|)",1.0,1e-30,9.999999999999999e+29,1.0,1,wout_input.nc
educational_VMEC/from_STELLOPT_repo/SOLOVEV,vmex,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.80532799913734e-13,1e-12,0.980532799913734,235.0,0,wout_SOLOVEV.nc
educational_VMEC/from_Stellarator_Tools_PARVMEC/fixed_boundary_test/test,desc,converged,maximum normalized force error,0.0005282,,,10.0,success,desc.log
educational_VMEC/from_Stellarator_Tools_PARVMEC/fixed_boundary_test/test,educational_vmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.611841564094741e-21,1e-20,0.9611841564094742,518.0,0,wout_vmec.nc
educational_VMEC/from_Stellarator_Tools_PARVMEC/fixed_boundary_test/test,parvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.618024294338924e-21,1e-20,0.9618024294338925,518.0,0,wout_test.vmec.nc
educational_VMEC/from_Stellarator_Tools_PARVMEC/fixed_boundary_test/test,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.623907379443986e-21,1e-20,0.9623907379443987,518.0,0,wout_test.vmec.nc
educational_VMEC/from_Stellarator_Tools_PARVMEC/fixed_boundary_test/test,vmecpp,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.94172965309518e-21,1e-20,0.9941729653095182,517.0,0,wout_input.test.nc
educational_VMEC/from_Stellarator_Tools_PARVMEC/fixed_boundary_test/test,vmex,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.627500119144698e-21,1e-20,0.9627500119144698,517.0,0,wout_test.vmec.nc
educational_VMEC/from_Stellarator_Tools_PARVMEC/free_boundary_test/test,desc,converged,maximum normalized force error,0.002019,,,5.0,success,desc.log
educational_VMEC/from_Stellarator_Tools_PARVMEC/free_boundary_test/test,jvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.021147903164185e-21,1e-20,0.9021147903164185,0.0,0,wout_input_cleaned.nc
educational_VMEC/from_Stellarator_Tools_PARVMEC/free_boundary_test/test,parvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.603175480019666e-21,1e-20,0.9603175480019667,1551.0,0,wout_test.vmec.nc
educational_VMEC/from_Stellarator_Tools_PARVMEC/free_boundary_test/test,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.582588844407464e-21,1e-20,0.9582588844407465,1551.0,0,wout_test.vmec.nc
educational_VMEC/from_Stellarator_Tools_PARVMEC/free_boundary_test/test,vmecpp,converged,"max(|fsqr|,|fsqz|,|fsql|)",8.829836672479006e-21,1e-20,0.8829836672479007,1791.0,0,wout_input.test.nc
educational_VMEC/from_booz_xform/LandremanSenguptaPlunk_section5p3,desc,converged,maximum normalized force error,0.0003313,,,7.0,success,desc.log
educational_VMEC/from_booz_xform/LandremanSenguptaPlunk_section5p3,educational_vmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.364433065155182e-13,1e-12,0.9364433065155182,760.0,0,wout_vmec.nc
educational_VMEC/from_booz_xform/LandremanSenguptaPlunk_section5p3,gvec,not_converged,|force|,5.37e-07,1e-07,5.37,10000.0,finished,gvec.log
educational_VMEC/from_booz_xform/LandremanSenguptaPlunk_section5p3,jvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.430130075093976e-13,1e-12,0.9430130075093976,0.0,0,wout_input_cleaned.nc
educational_VMEC/from_booz_xform/LandremanSenguptaPlunk_section5p3,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.946599391482445e-13,1e-12,0.9946599391482445,968.0,0,wout_LandremanSenguptaPlunk_section5p3.nc
educational_VMEC/from_booz_xform/LandremanSenguptaPlunk_section5p3,vmex,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.886750224545634e-13,1e-12,0.9886750224545635,405.0,0,wout_LandremanSenguptaPlunk_section5p3.nc
educational_VMEC/from_booz_xform/circular_tokamak,desc,converged,maximum normalized force error,3.748e-05,,,14.0,success,desc.log
educational_VMEC/from_booz_xform/circular_tokamak,educational_vmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",8.679163847406088e-21,1e-20,0.8679163847406088,749.0,0,wout_vmec.nc
educational_VMEC/from_booz_xform/circular_tokamak,gvec,converged,|force|,1e-07,1e-07,1.0,10000.0,finished,gvec.log
educational_VMEC/from_booz_xform/circular_tokamak,jvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",8.722175759818677e-21,1e-20,0.8722175759818678,0.0,0,wout_input_cleaned.nc
educational_VMEC/from_booz_xform/circular_tokamak,parvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",8.670091760130783e-21,1e-20,0.8670091760130784,749.0,0,wout_circular_tokamak.nc
educational_VMEC/from_booz_xform/circular_tokamak,spectre,converged,least-squares optimality,1.451178623759762e-10,,,138.0,2,spectre_input_res.json
educational_VMEC/from_booz_xform/circular_tokamak,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",8.670091760130783e-21,1e-20,0.8670091760130784,749.0,0,wout_circular_tokamak.nc
educational_VMEC/from_booz_xform/circular_tokamak,vmecpp,converged,"max(|fsqr|,|fsqz|,|fsql|)",8.68729480710749e-21,1e-20,0.8687294807107491,749.0,0,wout_input.nc
educational_VMEC/from_booz_xform/circular_tokamak,vmex,converged,"max(|fsqr|,|fsqz|,|fsql|)",8.69735422413866e-21,1e-20,0.8697354224138661,748.0,0,wout_circular_tokamak.nc
educational_VMEC/from_booz_xform/li383_1.4m,desc,converged,maximum normalized force error,0.002989,,,5.0,success,desc.log
