case,implementation,metric,value
PARVMEC/Testing/tests/lasym_test/test_sym,parvmec,volume_p,0.9252754126021275
PARVMEC/Testing/tests/lasym_test/test_sym,parvmec,iotaf_edge,0.340590802124621
PARVMEC/Testing/tests/lasym_test/test_sym,parvmec,pressure_axis,399.99999999999994
PARVMEC/Testing/tests/lasym_test/test_sym,parvmec,plasma_current,40000.17032055629
PARVMEC/Testing/tests/lasym_test/test_sym,vmec2000,wb,0.0007499526831415016
PARVMEC/Testing/tests/lasym_test/test_sym,vmec2000,betatotal,0.01570894415539308
PARVMEC/Testing/tests/lasym_test/test_sym,vmec2000,aspect,3.0
PARVMEC/Testing/tests/lasym_test/test_sym,vmec2000,raxis_cc,0.7629778278183612
PARVMEC/Testing/tests/lasym_test/test_sym,vmec2000,volume_p,0.9252754126021275
PARVMEC/Testing/tests/lasym_test/test_sym,vmec2000,iotaf_edge,0.3405908029802688
PARVMEC/Testing/tests/lasym_test/test_sym,vmec2000,pressure_axis,399.99999999999994
PARVMEC/Testing/tests/lasym_test/test_sym,vmec2000,plasma_current,40000.170349453605
PARVMEC/Testing/tests/lasym_test/test_sym,vmecpp,wb,0.0007499526817788443
PARVMEC/Testing/tests/lasym_test/test_sym,vmecpp,betatotal,0.0
PARVMEC/Testing/tests/lasym_test/test_sym,vmecpp,aspect,3.0
PARVMEC/Testing/tests/lasym_test/test_sym,vmecpp,raxis_cc,0.7629798240916664
PARVMEC/Testing/tests/lasym_test/test_sym,vmecpp,volume_p,0.9252754126021275
PARVMEC/Testing/tests/lasym_test/test_sym,vmecpp,iotaf_edge,0.34058992860928194
PARVMEC/Testing/tests/lasym_test/test_sym,vmecpp,pressure_axis,0.0
PARVMEC/Testing/tests/lasym_test/test_sym,vmecpp,plasma_current,40000.17032055626
PARVMEC/Testing/tests/lasym_test/test_sym,vmex,wb,0.0007499526836327072
PARVMEC/Testing/tests/lasym_test/test_sym,vmex,betatotal,0.015708944145103994
PARVMEC/Testing/tests/lasym_test/test_sym,vmex,aspect,3.0
PARVMEC/Testing/tests/lasym_test/test_sym,vmex,raxis_cc,0.7629778279943635
PARVMEC/Testing/tests/lasym_test/test_sym,vmex,volume_p,0.9252754126021274
PARVMEC/Testing/tests/lasym_test/test_sym,vmex,iotaf_edge,0.3405908021246383
PARVMEC/Testing/tests/lasym_test/test_sym,vmex,pressure_axis,399.99999999999994
PARVMEC/Testing/tests/lasym_test/test_sym,vmex,plasma_current,40000.17032055629
PARVMEC/Testing/tests/niter_test/test,desc,wb,0.0021720116983289474
PARVMEC/Testing/tests/niter_test/test,desc,betatotal,0.0
PARVMEC/Testing/tests/niter_test/test,desc,aspect,4.949747468199312
PARVMEC/Testing/tests/niter_test/test,desc,raxis_cc,0.6488106760291792
PARVMEC/Testing/tests/niter_test/test,desc,volume_p,0.27634892322455473
PARVMEC/Testing/tests/niter_test/test,desc,iotaf_edge,-0.2462091492850024
PARVMEC/Testing/tests/niter_test/test,desc,pressure_axis,0.0
PARVMEC/Testing/tests/niter_test/test,desc,plasma_current,-39999.999939999994
PARVMEC/Testing/tests/niter_test/test,parvmec,wb,0.00223375151639002
PARVMEC/Testing/tests/niter_test/test,parvmec,betatotal,0.0015751992037427763
PARVMEC/Testing/tests/niter_test/test,parvmec,aspect,4.949747468305834
PARVMEC/Testing/tests/niter_test/test,parvmec,raxis_cc,0.7269397206627392
PARVMEC/Testing/tests/niter_test/test,parvmec,volume_p,0.2763489232305021
PARVMEC/Testing/tests/niter_test/test,parvmec,iotaf_edge,0.2907780755898262
PARVMEC/Testing/tests/niter_test/test,parvmec,pressure_axis,399.99999999999994
PARVMEC/Testing/tests/niter_test/test,parvmec,plasma_current,40000.170320556295
PARVMEC/Testing/tests/niter_test/test,vmec2000,wb,0.0022337515159735273
PARVMEC/Testing/tests/niter_test/test,vmec2000,betatotal,0.0015751992040364685
